# Created by CSS Data Browser Version 4.2.4.201908232322
# 
# Start Time : 2020-06-30 00:00:00.000
# End Time   : 2020-07-13 00:00:00.000
# Source     : Linear interp.
# Interpolation Interval: 00:01:00
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: PXD:P1012:hv:CURR:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 
# Channel: SKB2:BMLDCCT:CURRENT
# Archives:
# 1) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 2) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: SKB2:BMHDCCT:CURRENT
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 2) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 3) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: PXD:P1012:hv-load:VOLT:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 

# Time	PXD:P1012:hv:CURR:cur Value	SKB2:BMLDCCT:CURRENT Value	SKB2:BMHDCCT:CURRENT Value	PXD:P1012:hv-load:VOLT:cur Value
2020-06-30 01:00:00.000000000	-1,061.30	564.76	538.06	-59,859.20
2020-06-30 01:01:00.000000000	-1,063.63	568.79	539.71	-59,883.67
2020-06-30 01:01:00.000000000	-1,063.63	568.79	539.70	-59,883.67
2020-06-30 01:01:00.000000000	-1,063.63	568.79	539.70	-59,883.67
2020-06-30 01:02:00.000000000	-1,061.37	563.56	538.72	-59,870.00
2020-06-30 01:02:00.000000000	-1,061.37	563.56	538.74	-59,870.00
2020-06-30 01:02:00.000000000	-1,061.37	563.56	538.74	-59,870.00
2020-06-30 01:03:00.000000000	-1,062.06	568.60	537.93	-59,897.28
2020-06-30 01:03:00.000000000	-1,062.06	568.60	537.93	-59,897.28
2020-06-30 01:03:00.000000000	-1,062.06	568.60	537.93	-59,897.28
2020-06-30 01:04:00.000000000	-1,060.00	575.51	547.34	-59,874.46
2020-06-30 01:04:00.000000000	-1,060.00	575.51	547.34	-59,874.46
2020-06-30 01:04:00.000000000	-1,060.00	575.51	547.34	-59,874.46
2020-06-30 01:05:00.000000000	-1,062.00	573.23	548.90	-59,884.70
2020-06-30 01:05:00.000000000	-1,062.00	573.23	548.89	-59,884.70
2020-06-30 01:05:00.000000000	-1,062.00	573.23	548.89	-59,884.70
2020-06-30 01:06:00.000000000	-1,059.39	573.65	-0.05	-59,847.89
2020-06-30 01:06:00.000000000	-1,059.39	573.65	-0.04	-59,847.89
2020-06-30 01:06:00.000000000	-1,059.39	573.65	-0.04	-59,847.89
2020-06-30 01:07:00.000000000	-14.65	514.36	-0.04	-247.00
2020-06-30 01:07:00.000000000	-14.65	514.36	-0.04	-247.00
2020-06-30 01:07:00.000000000	-14.65	514.36	-0.04	-247.00
2020-06-30 01:08:00.000000000	-15.00	458.96	-0.04	-197.16
2020-06-30 01:08:00.000000000	-15.00	458.96	-0.04	-197.16
2020-06-30 01:08:00.000000000	-15.00	458.96	-0.04	-197.16
2020-06-30 01:09:00.000000000	-13.09	410.23	-0.05	-200.38
2020-06-30 01:09:00.000000000	-13.09	410.23	-0.04	-200.38
2020-06-30 01:09:00.000000000	-13.09	410.23	-0.04	-200.38
2020-06-30 01:10:00.000000000	-14.38	370.22	0.10	-217.61
2020-06-30 01:10:00.000000000	-14.38	370.22	0.10	-217.61
2020-06-30 01:10:00.000000000	-14.38	370.22	0.10	-217.61
2020-06-30 01:11:00.000000000	-14.72	336.50	4.87	-195.04
2020-06-30 01:11:00.000000000	-14.72	336.50	4.88	-195.04
2020-06-30 01:11:00.000000000	-14.72	336.50	4.88	-195.04
2020-06-30 01:12:00.000000000	-14.09	308.41	34.93	-233.02
2020-06-30 01:12:00.000000000	-14.09	308.41	34.93	-233.02
2020-06-30 01:12:00.000000000	-14.09	308.41	34.93	-233.02
2020-06-30 01:13:00.000000000	-13.00	297.74	77.57	-193.84
2020-06-30 01:13:00.000000000	-13.00	297.74	77.56	-193.84
2020-06-30 01:13:00.000000000	-13.00	297.74	77.56	-193.84
2020-06-30 01:14:00.000000000	-14.36	298.98	120.87	-191.00
2020-06-30 01:14:00.000000000	-14.36	298.98	120.87	-191.00
2020-06-30 01:14:00.000000000	-14.36	298.98	120.87	-191.00
2020-06-30 01:15:00.000000000	-14.28	300.58	162.59	-219.00
2020-06-30 01:15:00.000000000	-14.28	300.58	162.59	-219.00
2020-06-30 01:15:00.000000000	-14.28	300.58	162.59	-219.00
2020-06-30 01:16:00.000000000	-14.28	298.92	201.88	-203.82
2020-06-30 01:16:00.000000000	-14.28	298.92	201.88	-203.82
2020-06-30 01:16:00.000000000	-14.28	298.92	201.88	-203.82
2020-06-30 01:17:00.000000000	-14.85	297.91	0.12	-191.00
2020-06-30 01:17:00.000000000	-14.85	297.91	0.12	-191.00
2020-06-30 01:17:00.000000000	-14.85	297.91	0.12	-191.00
2020-06-30 01:18:00.000000000	-13.73	300.59	2.30	-191.00
2020-06-30 01:18:00.000000000	-13.73	300.59	2.30	-191.00
2020-06-30 01:18:00.000000000	-13.73	300.59	2.30	-191.00
2020-06-30 01:19:00.000000000	-15.00	296.48	19.53	-242.28
2020-06-30 01:19:00.000000000	-15.00	296.48	19.55	-242.28
2020-06-30 01:19:00.000000000	-15.00	296.48	19.55	-242.28
2020-06-30 01:20:00.000000000	-15.00	298.77	36.40	-216.92
2020-06-30 01:20:00.000000000	-15.00	298.77	36.42	-216.92
2020-06-30 01:20:00.000000000	-15.00	298.77	36.42	-216.92
2020-06-30 01:21:00.000000000	-14.97	300.14	51.45	-183.76
2020-06-30 01:21:00.000000000	-14.97	300.14	51.47	-183.76
2020-06-30 01:21:00.000000000	-14.97	300.14	51.47	-183.76
2020-06-30 01:22:00.000000000	-14.99	296.92	67.60	-225.91
2020-06-30 01:22:00.000000000	-14.99	296.92	67.60	-225.91
2020-06-30 01:22:00.000000000	-14.99	296.92	67.60	-225.91
